#
# This file maps each MPI error class to a short name form.  
# This is used to support MPI_Error_string when applied to one of the
# MPI classes rather than to an error code created by MPIR_Err_create_code.
# By mapping the MPI codes to short generic names, we ensure that the 
# message strings for the defined MPI classes matches some message that
# may be created by MPIR_Err_create_code.
# 
# The format of this file is 
# mpi_err_xxx integer-value short-name
# where "integer-value" is the same as in mpi.h (eventually, we should
# generate this automatically).
MPI_SUCCESS          **success
# Communication argument parameters
MPI_ERR_BUFFER       **buffer
MPI_ERR_COUNT        **count
MPI_ERR_TYPE         **dtype
MPI_ERR_TAG          **tag
MPI_ERR_COMM         **comm
MPI_ERR_RANK         **rank
MPI_ERR_ROOT         **root
MPI_ERR_TRUNCATE     **truncate
# MPI Objects (other than COMM) 
MPI_ERR_GROUP        **group
MPI_ERR_OP           **op
MPI_ERR_REQUEST      **request
# Special topology argument parameters 
MPI_ERR_TOPOLOGY     **topology
MPI_ERR_DIMS         **dims
# All other arguments.  This is a class with many kinds 
MPI_ERR_ARG          **arg
# Other errors that are not simply an invalid argument
MPI_ERR_OTHER        **other
MPI_ERR_UNKNOWN      **unknown
MPI_ERR_INTERN       **intern
# Multiple completion has two special error classes 
MPI_ERR_IN_STATUS    **instatus
MPI_ERR_PENDING      **pending
MPIX_ERR_PROC_FAILED_PENDING **failure_pending
# New MPI-2 Error classes 
MPI_ERR_FILE         **file
MPI_ERR_ACCESS       **fileaccess
MPI_ERR_AMODE        **fileamode
MPI_ERR_BAD_FILE     **filename
MPI_ERR_FILE_EXISTS  **fileexist
MPI_ERR_FILE_IN_USE  **fileinuse
MPI_ERR_NO_SPACE     **filenospace
MPI_ERR_NO_SUCH_FILE **filenoexist
MPI_ERR_IO           **io
MPI_ERR_READ_ONLY    **filerdonly
MPI_ERR_CONVERSION   **conversion
MPI_ERR_DUP_DATAREP  **datarepused
MPI_ERR_UNSUPPORTED_DATAREP   **datarepunsupported
# MPI_ERR_INFO is NOT defined in the MPI-2 standard.  I believe that
# this is an oversight 
MPI_ERR_INFO         **info
MPI_ERR_INFO_KEY     **infokey
MPI_ERR_INFO_VALUE   **infoval
MPI_ERR_INFO_NOKEY   **infonokey
MPI_ERR_NAME         **nameservice
MPI_ERR_NO_MEM       **allocmem
MPI_ERR_NOT_SAME     **notsame
MPI_ERR_PORT         **port
MPI_ERR_QUOTA        **filequota
MPI_ERR_SERVICE      **servicename
MPI_ERR_SPAWN        **spawn
MPI_ERR_UNSUPPORTED_OPERATION **fileopunsupported
MPI_ERR_WIN          **win
MPI_ERR_BASE         **base
MPI_ERR_LOCKTYPE     **locktype
MPI_ERR_KEYVAL       **keyval
MPI_ERR_RMA_CONFLICT **rmaconflict
MPI_ERR_RMA_SYNC     **rmasync
MPI_ERR_SIZE         **rmasize
MPI_ERR_DISP         **rmadisp
MPI_ERR_ASSERT       **assert
MPIX_ERR_PROC_FAILED **proc_failed
MPI_ERR_RMA_RANGE    **rmarange
MPI_ERR_RMA_ATTACH   **rmaattach
MPI_ERR_RMA_SHARED   **rmashared
MPI_ERR_RMA_FLAVOR   **rmaflavor
MPIX_ERR_REVOKED     **revoked
MPIX_ERR_EAGAIN      **eagain
MPIX_ERR_NOREQ       **nomemreq
MPIX_ERR_TIMEOUT     **timeout
